Postcode,Car travel time to whiteknights,Public transport time to whiteknights,Walking to whiteknights
RG1 3EE,"3.0 km , 6 mins","2.6 km , 10 mins","2.2 km , 28 mins"
RG1 3EG,"3.6 km , 8 mins","2.6 km , 12 mins","2.3 km , 29 mins"
RG1 3EN,"3.2 km , 6 mins","2.5 km , 12 mins","2.1 km , 26 mins"
RG1 3EW,"3.2 km , 6 mins","2.5 km , 12 mins","2.1 km , 26 mins"
RG1 3EY,"4.0 km , 9 mins","3.2 km , 13 mins","2.7 km , 34 mins"
RG1 3GF,"3.4 km , 7 mins","2.7 km , 21 mins","2.0 km , 25 mins"
RG1 3GG,"3.5 km , 8 mins","2.8 km , 22 mins","1.9 km , 24 mins"
RG1 3GH,"3.6 km , 8 mins","2.3 km , 22 mins","1.8 km , 22 mins"
RG1 3GJ,"3.4 km , 7 mins","2.7 km , 22 mins","2.0 km , 25 mins"
RG1 3HA,"2.4 km , 5 mins","1.9 km , 16 mins","1.6 km , 20 mins"
RG1 3HB,"2.5 km , 5 mins","1.9 km , 16 mins","1.6 km , 19 mins"
RG1 3HD,"2.5 km , 6 mins","1.9 km , 16 mins","1.7 km , 21 mins"
RG1 3HE,"2.5 km , 5 mins","1.9 km , 16 mins","1.6 km , 19 mins"
RG1 3HF,"2.5 km , 7 mins","1.7 km , 18 mins","1.7 km , 20 mins"
RG1 3HG,"3.3 km , 8 mins","2.2 km , 20 mins","1.8 km , 23 mins"
RG1 3HH,"2.7 km , 7 mins","2.0 km , 17 mins","1.8 km , 23 mins"
RG1 3HJ,"3.2 km , 7 mins","2.1 km , 18 mins","1.9 km , 23 mins"
RG1 3HQ,"3.3 km , 8 mins","2.1 km , 19 mins","2.0 km , 24 mins"
RG1 3HW,"4.2 km , 9 mins","3.1 km , 23 mins","2.7 km , 34 mins"
RG1 3HX,"2.5 km , 7 mins","1.9 km , 17 mins","1.7 km , 21 mins"
RG1 3JA,"3.8 km , 9 mins","2.7 km , 12 mins","2.4 km , 31 mins"
RG1 3JB,"2.4 km , 5 mins","1.9 km , 16 mins","1.5 km , 19 mins"
RG1 3JE,"2.9 km , 6 mins","2.4 km , 12 mins","2.1 km , 26 mins"
RG1 3JF,"3.0 km , 6 mins","2.4 km , 12 mins","2.0 km , 25 mins"
RG1 3JG,"3.0 km , 6 mins","2.5 km , 13 mins","2.0 km , 24 mins"
RG1 3JJ,"3.5 km , 7 mins","2.6 km , 11 mins","2.4 km , 30 mins"
RG1 3JL,"3.1 km , 7 mins","2.1 km , 18 mins","1.9 km , 23 mins"
RG1 3JN,"2.6 km , 6 mins","1.9 km , 16 mins","1.7 km , 21 mins"
RG1 3JP,"3.0 km , 6 mins","2.5 km , 13 mins","2.1 km , 26 mins"
RG1 3JQ,"3.7 km , 9 mins","2.7 km , 13 mins","2.5 km , 31 mins"
RG1 3JR,"2.5 km , 5 mins","1.8 km , 15 mins","1.7 km , 21 mins"
RG1 3JS,"2.5 km , 6 mins","1.5 km , 16 mins","1.5 km , 19 mins"
RG1 3JT,"2.6 km , 6 mins","1.5 km , 16 mins","1.5 km , 19 mins"
RG1 3JU,"2.7 km , 6 mins","1.6 km , 16 mins","1.6 km , 19 mins"
RG1 3JW,"3.0 km , 6 mins","2.4 km , 12 mins","2.2 km , 27 mins"
RG1 3JX,"2.4 km , 7 mins","1.6 km , 17 mins","1.6 km , 20 mins"
RG1 3JY,"2.3 km , 6 mins","1.6 km , 19 mins","1.6 km , 19 mins"
RG1 3JZ,"3.1 km , 7 mins","2.3 km , 19 mins","2.0 km , 25 mins"
RG1 3LA,"2.4 km , 7 mins","2.1 km , 18 mins","1.6 km , 20 mins"
RG1 3LB,"2.7 km , 7 mins","1.4 km , 17 mins","1.4 km , 17 mins"
RG1 3LD,"2.5 km , 6 mins","1.5 km , 18 mins","1.5 km , 18 mins"
RG1 3LE,"2.7 km , 7 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3LF,"2.2 km , 4 mins","1.5 km , 13 mins","1.5 km , 18 mins"
RG1 3LH,"2.4 km , 5 mins","1.8 km , 15 mins","1.6 km , 19 mins"
RG1 3LJ,"2.1 km , 4 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3LL,"2.2 km , 5 mins","1.4 km , 18 mins","1.4 km , 18 mins"
RG1 3LN,"2.1 km , 5 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3LP,"2.3 km , 6 mins","1.4 km , 18 mins","1.4 km , 18 mins"
RG1 3LQ,"2.5 km , 5 mins","1.9 km , 16 mins","1.5 km , 18 mins"
RG1 3LR,"2.2 km , 6 mins","1.4 km , 17 mins","1.4 km , 17 mins"
RG1 3LS,"2.2 km , 6 mins","1.5 km , 18 mins","1.5 km , 18 mins"
RG1 3LT,"2.0 km , 5 mins","1.2 km , 15 mins","1.2 km , 15 mins"
RG1 3LW,"2.2 km , 5 mins","1.4 km , 18 mins","1.4 km , 18 mins"
RG1 3LX,"2.2 km , 5 mins","1.4 km , 18 mins","1.4 km , 18 mins"
RG1 3LY,"2.3 km , 6 mins","1.3 km , 16 mins","1.3 km , 16 mins"
RG1 3NA,"2.4 km , 6 mins","1.3 km , 15 mins","1.3 km , 15 mins"
